OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
242,S/H21/28,BHCB,135,276.406154656,4520.435546875,299.83992681709
243,S/H21/28,BHCB,225,174.775653871,2234.806640625,189.36881024973
244,S/H21/28,BHCB,120,1085.37619025,40609.001953125,1175.393269034
245,S/H21/28,BHCS,8,242.471087109,4075.5390625,262.87812588805
246,S/H21/28,BHCB,130,232.408021108,3677.505859375,252.017817963897
247,S/H21/28,BHCB,120,312.13588769,6699.50390625,338.493467205257
248,S/H21/28,BHCS,8,430.284757358,6243.275390625,466.590281915617
249,S/H21/28,BHCS,6,277.452878892,5490.046875,300.785179803945
250,S/H21/28,BHCB,225,295.602989468,5268.26171875,320.647003632716
251,S/H21/28,BHCS,3,217.093666663,2843.4765625,235.119593079823
252,S/H21/28,BHCB,120,227.366035142,2742.646484375,246.122156783948
253,S/H21/28,BHCB,100,376.314932292,6728.66796875,407.663704635093
254,S/H21/28,BHCB,135,485.937227356,7989.984375,527.434192491718
255,S/H21/28,BHCS,1,105.035952309,321.212890625,113.958686040098
256,S/H21/28,BHCS,1,183.719499129,2043.36328125,199.059053492574
257,S/H21/28,BHCS,1,116.585481127,280.291015625,126.597750585768
258,S/H21/28,BHCS,6,799.522377768,20986.30078125,865.520961815587
259,S/H21/28,BHCB,120,428.926420567,7692.869140625,465.03731664667
260,S/H21/28,BHCB,135,293.34376563,4274.234375,317.796784572745
261,S/H21/28,BHCB,135,613.6841262,17595.685546875,665.950372030709
262,S/H21/28,BHCS,9,329.020514546,4415.26171875,357.043966848727
263,S/H21/28,BHCB,90,679.232108382,18085.712890625,734.406189235541
264,S/H21/28,BHCS,8,307.94370034,6791.447265625,333.598497725102
265,S/H21/28,BHCB,170,312.426430745,6723.634765625,338.701213945612
266,S/H21/28,BHCB,135,235.4438801,2418.916015625,254.723190995736
267,S/H21/28,BHCB,220,267.672513869,4711.673828125,289.916562221338
268,S/H21/28,BHCS,1,124.033168001,1048.458984375,134.315722030091
269,S/H21/28,BHCS,1,149.565555063,1473.89453125,161.928195507731
270,S/H21/28,BHCS,3,272.516834452,4820.171875,295.397267966941
271,S/H21/28,BHCB,120,619.459790432,21199.4453125,670.812717224653
272,S/H21/28,BHCS,1,148.636341819,1357.0546875,160.854874173278
273,S/H21/28,BHCS,1,88.4827114385,446.884765625,95.9412766440489
274,S/H21/28,BHCS,6,340.387654827,5820.435546875,368.720882445068
275,S/H21/28,BHCS,9,266.337122894,3558,288.681856980304
276,S/H21/28,BHCB,105,378.483671421,9086.369140625,410.227082792215
277,S/H21/28,BHCB,120,142.867644272,918.837890625,154.594132635753
278,S/H21/28,BHCB,120,285.47884204,5363.80078125,309.509009083617
279,S/H21/28,BHCB,120,274.345373032,5430.24609375,297.093474834053
280,S/H21/28,BHCS,1,254.549180486,4725.220703125,275.845737059261
281,S/H21/28,BHCB,45,381.236008996,9108.67578125,412.788378256585
282,S/H21/28,BHCB,120,270.372306272,3783.310546875,292.548620165061
283,S/H21/28,BHCB,17,87.0794816483,468.7109375,94.4257694715156
284,S/H21/28,BHCS,3,202.843924066,1319.7734375,219.295401621335
285,S/H21/28,BHCS,1,100.133204173,644.548828125,108.38328853843
286,S/H21/28,BHCS,8,410.143855726,11262.8828125,444.587147828209
287,S/H21/28,BHCB,105,491.752152643,17053.759765625,532.536688083837
288,S/H21/28,BHCB,160,443.772946928,14526.998046875,480.785175020231
289,S/H21/28,BHCB,120,325.801646954,5912.1171875,353.343233647634
290,S/H21/28,BHCB,120,177.995478658,2289.03515625,192.883828432711
291,S/H21/28,BHCB,100,253.851752281,4723.462890625,275.024159106472
292,S/H21/28,BHCB,120,470.928049926,8229.6953125,510.09441799989
293,S/H21/28,BHCB,105,575.812296665,21360.544921875,623.400412037985
294,S/H21/28,BHCS,8,292.101409749,5257.01171875,316.150576753464
295,S/H21/28,BHCS,8,267.44423651,4794.337890625,289.544895476022
296,S/H21/28,BHCB,90,599.383832803,15889.92578125,648.139290609885
297,S/H21/28,BHCB,130,189.881222816,2640.337890625,205.684199594562
298,S/H21/28,BHCB,140,181.008063612,1982.20703125,195.947499182424
299,S/H21/28,BHCB,80,330.476118088,5676.787109375,358.007385701364
300,S/H21/28,BHCB,105,524.046212831,20373.244140625,567.485044017783
301,S/H21/28,BHCB,80,326.98836465,5597.24609375,354.241816752537
302,S/H21/28,BHCB,80,330.078893137,5644.50390625,357.588652381647
303,S/H21/28,BHCS,3,208.61138428,2151.439453125,225.996422939939
304,S/H21/28,BHCB,120,147.878995691,1285.638671875,160.357176830524
305,S/H21/28,BHCB,195,225.700976507,3486.83984375,244.319768943113
306,S/H21/28,BHCB,120,458.405254074,6107.79296875,497.11627835129
307,S/H21/28,BHCB,90,252.28332433,4687.892578125,273.148125031776
308,S/H21/28,NBA,NBA,95.1635176414,507.8515625,102.974075382783
309,S/H21/28,NBA,NBA,130.272960516,644.212890625,141.410810603624
310,S/H21/28,NBA,NBA,241.325324798,1008.9921875,260.791118761859
311,S/H21/28,NBA,NBA,137.562447799,618.759765625,148.722520908578
312,S/H21/28,NBA,NBA,98.5349744209,415.626953125,106.552866453821
313,S/H21/28,NBA,NBA,309.029050744,1493.720703125,333.910938305035
314,S/H21/28,NBA,NBA,138.298257779,694.1015625,149.51574987455
315,S/H4/17,BHCB,200,334.227094153,7860.87890625,362.01484635937
316,S/H4/17,BHCB,23,405.717096171,2777.162109375,439.479141419052
317,S/H4/17,BHCB,135,299.369101224,6022.38671875,324.259656641286
318,S/H4/17,BHCB,80,286.413713047,4202.89453125,310.053260008306
